question,answer
What is the price of Rice in Cachar market?,"state: Assam
district: Cachar
market: Cachar
commodity: Rice
variety: Common
arrival_date: 04/03/2019
min_price: 2200
max_price: 2500
modal_price: 2400
source_file: csv.csv
"
What is the price of Rice in Cachar market?,"state: Assam
district: Cachar
market: Cachar
commodity: Rice
variety: Fine
arrival_date: 04/03/2019
min_price: 2500
max_price: 3000
modal_price: 2800
source_file: csv.csv
"
What is the price of Bitter gourd in Kharupetia market?,"state: Assam
district: Darrang
market: Kharupetia
commodity: Bitter gourd
variety: Bitter Gourd
arrival_date: 04/03/2019
min_price: 6000
max_price: 6500
modal_price: 6400
source_file: csv.csv
"
What is the price of Bottle gourd in Kharupetia market?,"state: Assam
district: Darrang
market: Kharupetia
commodity: Bottle gourd
variety: Bottle Gourd
arrival_date: 04/03/2019
min_price: 800
max_price: 900
modal_price: 850
source_file: csv.csv
"
What is the price of Brinjal in Kharupetia market?,"state: Assam
district: Darrang
market: Kharupetia
commodity: Brinjal
variety: Round
arrival_date: 04/03/2019
min_price: 800
max_price: 900
modal_price: 850
source_file: csv.csv
"
What is the price of Cabbage in Kharupetia market?,"state: Assam
district: Darrang
market: Kharupetia
commodity: Cabbage
variety: Cabbage
arrival_date: 04/03/2019
min_price: 300
max_price: 400
modal_price: 350
source_file: csv.csv
"
What is the price of Carrot in Kharupetia market?,"state: Assam
district: Darrang
market: Kharupetia
commodity: Carrot
variety: Carrot
arrival_date: 04/03/2019
min_price: 1000
max_price: 1100
modal_price: 1050
source_file: csv.csv
"
What is the price of Cauliflower in Kharupetia market?,"state: Assam
district: Darrang
market: Kharupetia
commodity: Cauliflower
variety: Local
arrival_date: 04/03/2019
min_price: 1400
max_price: 1500
modal_price: 1450
source_file: csv.csv
"
What is the price of Cluster beans in Kharupetia market?,"state: Assam
district: Darrang
market: Kharupetia
commodity: Cluster beans
variety: Cluster Beans
arrival_date: 04/03/2019
min_price: 4000
max_price: 4200
modal_price: 4100
source_file: csv.csv
"
What is the price of Cucumbar(Kheera) in Kharupetia market?,"state: Assam
district: Darrang
market: Kharupetia
commodity: Cucumbar(Kheera)
variety: Cucumbar
arrival_date: 04/03/2019
min_price: 1500
max_price: 1600
modal_price: 1550
source_file: csv.csv
"
What is the price of Field Pea in Kharupetia market?,"state: Assam
district: Darrang
market: Kharupetia
commodity: Field Pea
variety: Field Pea
arrival_date: 04/03/2019
min_price: 2800
max_price: 3000
modal_price: 2900
source_file: csv.csv
"
What is the price of French Beans (Frasbean) in Kharupetia market?,"state: Assam
district: Darrang
market: Kharupetia
commodity: French Beans (Frasbean)
variety: French Beans (Frasbean)
arrival_date: 04/03/2019
min_price: 2200
max_price: 2300
modal_price: 2250
source_file: csv.csv
"
What is the price of Green Chilli in Kharupetia market?,"state: Assam
district: Darrang
market: Kharupetia
commodity: Green Chilli
variety: Green Chilly
arrival_date: 04/03/2019
min_price: 3500
max_price: 3700
modal_price: 3600
source_file: csv.csv
"
What is the price of Knool Khol in Kharupetia market?,"state: Assam
district: Darrang
market: Kharupetia
commodity: Knool Khol
variety: Knool Khol
arrival_date: 04/03/2019
min_price: 900
max_price: 1000
modal_price: 950
source_file: csv.csv
"
What is the price of Potato in Kharupetia market?,"state: Assam
district: Darrang
market: Kharupetia
commodity: Potato
variety: Badshah
arrival_date: 04/03/2019
min_price: 600
max_price: 700
modal_price: 650
source_file: csv.csv
"
What is the price of Pumpkin in Kharupetia market?,"state: Assam
district: Darrang
market: Kharupetia
commodity: Pumpkin
variety: Pumpkin
arrival_date: 04/03/2019
min_price: 600
max_price: 700
modal_price: 650
source_file: csv.csv
"
What is the price of Raddish in Kharupetia market?,"state: Assam
district: Darrang
market: Kharupetia
commodity: Raddish
variety: Raddish
arrival_date: 04/03/2019
min_price: 800
max_price: 900
modal_price: 850
source_file: csv.csv
"
What is the price of Tomato in Kharupetia market?,"state: Assam
district: Darrang
market: Kharupetia
commodity: Tomato
variety: Hybrid
arrival_date: 04/03/2019
min_price: 1100
max_price: 1200
modal_price: 1150
source_file: csv.csv
"
What is the price of Black Gram (Urd Beans)(Whole) in Gauripur market?,"state: Assam
district: Dhubri
market: Gauripur
commodity: Black Gram (Urd Beans)(Whole)
variety: Black Gram (Whole)
arrival_date: 04/03/2019
min_price: 4300
max_price: 4425
modal_price: 4400
source_file: csv.csv
"
What is the price of Green Gram (Moong)(Whole) in Gauripur market?,"state: Assam
district: Dhubri
market: Gauripur
commodity: Green Gram (Moong)(Whole)
variety: Green (Whole)
arrival_date: 04/03/2019
min_price: 6300
max_price: 6640
modal_price: 6400
source_file: csv.csv
"
What is the price of Jute in Gauripur market?,"state: Assam
district: Dhubri
market: Gauripur
commodity: Jute
variety: TD-5
arrival_date: 04/03/2019
min_price: 2700
max_price: 3700
modal_price: 2800
source_file: csv.csv
"
What is the price of Maida Atta in Gauripur market?,"state: Assam
district: Dhubri
market: Gauripur
commodity: Maida Atta
variety: Maida Atta
arrival_date: 04/03/2019
min_price: 2260
max_price: 2550
modal_price: 2370
source_file: csv.csv
"
What is the price of Mustard in Gauripur market?,"state: Assam
district: Dhubri
market: Gauripur
commodity: Mustard
variety: Mustard
arrival_date: 04/03/2019
min_price: 2300
max_price: 2550
modal_price: 2400
source_file: csv.csv
"
What is the price of Rice in Gauripur market?,"state: Assam
district: Dhubri
market: Gauripur
commodity: Rice
variety: Fine
arrival_date: 04/03/2019
min_price: 3500
max_price: 5000
modal_price: 4500
source_file: csv.csv
"
What is the price of Rice in Gauripur market?,"state: Assam
district: Dhubri
market: Gauripur
commodity: Rice
variety: Medium
arrival_date: 04/03/2019
min_price: 1800
max_price: 3000
modal_price: 2500
source_file: csv.csv
"
What is the price of Wheat Atta in Gauripur market?,"state: Assam
district: Dhubri
market: Gauripur
commodity: Wheat Atta
variety: Wheat Atta
arrival_date: 04/03/2019
min_price: 2200
max_price: 2400
modal_price: 2300
source_file: csv.csv
"
What is the price of Garlic in Jorhat market?,"state: Assam
district: Jorhat
market: Jorhat
commodity: Garlic
variety: Garlic
arrival_date: 04/03/2019
min_price: 3500
max_price: 6000
modal_price: 5000
source_file: csv.csv
"
What is the price of Green Gram (Moong)(Whole) in Jorhat market?,"state: Assam
district: Jorhat
market: Jorhat
commodity: Green Gram (Moong)(Whole)
variety: Green (Whole)
arrival_date: 04/03/2019
min_price: 6200
max_price: 6800
modal_price: 6600
source_file: csv.csv
"
What is the price of Masur Dal in Jorhat market?,"state: Assam
district: Jorhat
market: Jorhat
commodity: Masur Dal
variety: Masur Dal
arrival_date: 04/03/2019
min_price: 5200
max_price: 6600
modal_price: 6200
source_file: csv.csv
"
What is the price of Onion in Jorhat market?,"state: Assam
district: Jorhat
market: Jorhat
commodity: Onion
variety: Onion
arrival_date: 04/03/2019
min_price: 1150
max_price: 1250
modal_price: 1200
source_file: csv.csv
"
What is the price of Potato in Jorhat market?,"state: Assam
district: Jorhat
market: Jorhat
commodity: Potato
variety: Potato
arrival_date: 04/03/2019
min_price: 500
max_price: 580
modal_price: 550
source_file: csv.csv
"
What is the price of Rice in Jorhat market?,"state: Assam
district: Jorhat
market: Jorhat
commodity: Rice
variety: Common
arrival_date: 04/03/2019
min_price: 2500
max_price: 7000
modal_price: 3200
source_file: csv.csv
"
What is the price of Wheat Atta in Jorhat market?,"state: Assam
district: Jorhat
market: Jorhat
commodity: Wheat Atta
variety: Wheat Atta
arrival_date: 04/03/2019
min_price: 2600
max_price: 3200
modal_price: 2800
source_file: csv.csv
"
What is the price of Bitter gourd in Pamohi(Garchuk) market?,"state: Assam
district: Kamrup
market: Pamohi(Garchuk)
commodity: Bitter gourd
variety: Bitter Gourd
arrival_date: 04/03/2019
min_price: 5000
max_price: 6000
modal_price: 5500
source_file: csv.csv
"
What is the price of Brinjal in Pamohi(Garchuk) market?,"state: Assam
district: Kamrup
market: Pamohi(Garchuk)
commodity: Brinjal
variety: Brinjal
arrival_date: 04/03/2019
min_price: 1200
max_price: 1400
modal_price: 1300
source_file: csv.csv
"
What is the price of Cabbage in Pamohi(Garchuk) market?,"state: Assam
district: Kamrup
market: Pamohi(Garchuk)
commodity: Cabbage
variety: Cabbage
arrival_date: 04/03/2019
min_price: 300
max_price: 600
modal_price: 500
source_file: csv.csv
"
What is the price of Carrot in Pamohi(Garchuk) market?,"state: Assam
district: Kamrup
market: Pamohi(Garchuk)
commodity: Carrot
variety: Carrot
arrival_date: 04/03/2019
min_price: 700
max_price: 1200
modal_price: 1000
source_file: csv.csv
"
What is the price of Cauliflower in Pamohi(Garchuk) market?,"state: Assam
district: Kamrup
market: Pamohi(Garchuk)
commodity: Cauliflower
variety: Cauliflower
arrival_date: 04/03/2019
min_price: 1800
max_price: 2000
modal_price: 1900
source_file: csv.csv
"
What is the price of Cucumbar(Kheera) in Pamohi(Garchuk) market?,"state: Assam
district: Kamrup
market: Pamohi(Garchuk)
commodity: Cucumbar(Kheera)
variety: Cucumbar
arrival_date: 04/03/2019
min_price: 1600
max_price: 2200
modal_price: 2000
source_file: csv.csv
"
What is the price of Garlic in Pamohi(Garchuk) market?,"state: Assam
district: Kamrup
market: Pamohi(Garchuk)
commodity: Garlic
variety: Garlic
arrival_date: 04/03/2019
min_price: 4000
max_price: 5000
modal_price: 4500
source_file: csv.csv
"
What is the price of Green Chilli in Pamohi(Garchuk) market?,"state: Assam
district: Kamrup
market: Pamohi(Garchuk)
commodity: Green Chilli
variety: Green Chilly
arrival_date: 04/03/2019
min_price: 1500
max_price: 3000
modal_price: 1600
source_file: csv.csv
"
What is the price of Onion in Pamohi(Garchuk) market?,"state: Assam
district: Kamrup
market: Pamohi(Garchuk)
commodity: Onion
variety: Onion
arrival_date: 04/03/2019
min_price: 950
max_price: 1150
modal_price: 1100
source_file: csv.csv
"
What is the price of Potato in Pamohi(Garchuk) market?,"state: Assam
district: Kamrup
market: Pamohi(Garchuk)
commodity: Potato
variety: Potato
arrival_date: 04/03/2019
min_price: 600
max_price: 750
modal_price: 700
source_file: csv.csv
"
What is the price of Pumpkin in Pamohi(Garchuk) market?,"state: Assam
district: Kamrup
market: Pamohi(Garchuk)
commodity: Pumpkin
variety: Pumpkin
arrival_date: 04/03/2019
min_price: 800
max_price: 1000
modal_price: 900
source_file: csv.csv
"
What is the price of Raddish in Pamohi(Garchuk) market?,"state: Assam
district: Kamrup
market: Pamohi(Garchuk)
commodity: Raddish
variety: Raddish
arrival_date: 04/03/2019
min_price: 1000
max_price: 1200
modal_price: 1100
source_file: csv.csv
"
What is the price of Ridgeguard(Tori) in Pamohi(Garchuk) market?,"state: Assam
district: Kamrup
market: Pamohi(Garchuk)
commodity: Ridgeguard(Tori)
variety: Ridgeguard(Tori)
arrival_date: 04/03/2019
min_price: 4000
max_price: 4200
modal_price: 4100
source_file: csv.csv
"
What is the price of Tomato in Pamohi(Garchuk) market?,"state: Assam
district: Kamrup
market: Pamohi(Garchuk)
commodity: Tomato
variety: Tomato
arrival_date: 04/03/2019
min_price: 1400
max_price: 1500
modal_price: 1450
source_file: csv.csv
"
What is the price of Arecanut(Betelnut/Supari) in Dhekiajuli market?,"state: Assam
district: Sonitpur
market: Dhekiajuli
commodity: Arecanut(Betelnut/Supari)
variety: Raw
arrival_date: 04/03/2019
min_price: 2000
max_price: 2200
modal_price: 2200
source_file: csv.csv
"
What is the price of Arhar (Tur/Red Gram)(Whole) in Dhekiajuli market?,"state: Assam
district: Sonitpur
market: Dhekiajuli
commodity: Arhar (Tur/Red Gram)(Whole)
variety: Other
arrival_date: 04/03/2019
min_price: 5700
max_price: 5850
modal_price: 5850
source_file: csv.csv
"
What is the price of Brinjal in Dhekiajuli market?,"state: Assam
district: Sonitpur
market: Dhekiajuli
commodity: Brinjal
variety: Other
arrival_date: 04/03/2019
min_price: 700
max_price: 750
modal_price: 750
source_file: csv.csv
"
What is the price of Cabbage in Dhekiajuli market?,"state: Assam
district: Sonitpur
market: Dhekiajuli
commodity: Cabbage
variety: Other
arrival_date: 04/03/2019
min_price: 650
max_price: 700
modal_price: 700
source_file: csv.csv
"
What is the price of Green Chilli in Dhekiajuli market?,"state: Assam
district: Sonitpur
market: Dhekiajuli
commodity: Green Chilli
variety: Green Chilly
arrival_date: 04/03/2019
min_price: 1800
max_price: 2000
modal_price: 2000
source_file: csv.csv
"
What is the price of Jute in Dhekiajuli market?,"state: Assam
district: Sonitpur
market: Dhekiajuli
commodity: Jute
variety: TD-5
arrival_date: 04/03/2019
min_price: 3600
max_price: 3900
modal_price: 3900
source_file: csv.csv
"
What is the price of Maize in Dhekiajuli market?,"state: Assam
district: Sonitpur
market: Dhekiajuli
commodity: Maize
variety: Other
arrival_date: 04/03/2019
min_price: 1700
max_price: 1800
modal_price: 1800
source_file: csv.csv
"
What is the price of Mustard in Dhekiajuli market?,"state: Assam
district: Sonitpur
market: Dhekiajuli
commodity: Mustard
variety: Other
arrival_date: 04/03/2019
min_price: 4000
max_price: 4100
modal_price: 4100
source_file: csv.csv
"
What is the price of Rice in Dhekiajuli market?,"state: Assam
district: Sonitpur
market: Dhekiajuli
commodity: Rice
variety: Common
arrival_date: 04/03/2019
min_price: 2200
max_price: 2500
modal_price: 2400
source_file: csv.csv
"
What is the price of Rice in Dhekiajuli market?,"state: Assam
district: Sonitpur
market: Dhekiajuli
commodity: Rice
variety: Fine
arrival_date: 04/03/2019
min_price: 2700
max_price: 2900
modal_price: 2800
source_file: csv.csv
"
What is the price of Dry Chillies in Jagdalpur market?,"state: Chattisgarh
district: Bastar
market: Jagdalpur
commodity: Dry Chillies
variety: Dry
arrival_date: 04/03/2019
min_price: 4000
max_price: 4410
modal_price: 4200
source_file: csv.csv
"
What is the price of Paddy(Dhan)(Common) in Charama market?,"state: Chattisgarh
district: Kanker
market: Charama
commodity: Paddy(Dhan)(Common)
variety: Other
arrival_date: 04/03/2019
min_price: 1500
max_price: 1500
modal_price: 1500
source_file: csv.csv
"
What is the price of Paddy(Dhan)(Common) in Lakhanpuri market?,"state: Chattisgarh
district: Kanker
market: Lakhanpuri
commodity: Paddy(Dhan)(Common)
variety: Other
arrival_date: 04/03/2019
min_price: 1500
max_price: 1500
modal_price: 1500
source_file: csv.csv
"
What is the price of Paddy(Dhan)(Common) in Narharpur market?,"state: Chattisgarh
district: Kanker
market: Narharpur
commodity: Paddy(Dhan)(Common)
variety: Other
arrival_date: 04/03/2019
min_price: 1500
max_price: 1500
modal_price: 1500
source_file: csv.csv
"
What is the price of Groundnut in Pratappur market?,"state: Chattisgarh
district: Surajpur
market: Pratappur
commodity: Groundnut
variety: Other
arrival_date: 04/03/2019
min_price: 4900
max_price: 4900
modal_price: 4900
source_file: csv.csv
"
What is the price of Arecanut(Betelnut/Supari) in Sanquelim market?,"state: Goa
district: North Goa
market: Sanquelim
commodity: Arecanut(Betelnut/Supari)
variety: Red
arrival_date: 04/03/2019
min_price: 19000
max_price: 20000
modal_price: 19500
source_file: csv.csv
"
What is the price of Arecanut(Betelnut/Supari) in Sanquelim market?,"state: Goa
district: North Goa
market: Sanquelim
commodity: Arecanut(Betelnut/Supari)
variety: Supari
arrival_date: 04/03/2019
min_price: 21500
max_price: 23000
modal_price: 22250
source_file: csv.csv
"
What is the price of Arecanut(Betelnut/Supari) in Sanquelim market?,"state: Goa
district: North Goa
market: Sanquelim
commodity: Arecanut(Betelnut/Supari)
variety: White
arrival_date: 04/03/2019
min_price: 20000
max_price: 21000
modal_price: 20500
source_file: csv.csv
"
What is the price of Bhindi(Ladies Finger) in Damnagar market?,"state: Gujarat
district: Amreli
market: Damnagar
commodity: Bhindi(Ladies Finger)
variety: Bhindi
arrival_date: 04/03/2019
min_price: 1450
max_price: 1650
modal_price: 1550
source_file: csv.csv
"
What is the price of Brinjal in Damnagar market?,"state: Gujarat
district: Amreli
market: Damnagar
commodity: Brinjal
variety: Other
arrival_date: 04/03/2019
min_price: 1000
max_price: 1200
modal_price: 1100
source_file: csv.csv
"
What is the price of Capsicum in Damnagar market?,"state: Gujarat
district: Amreli
market: Damnagar
commodity: Capsicum
variety: Capsicum
arrival_date: 04/03/2019
min_price: 1200
max_price: 1400
modal_price: 1300
source_file: csv.csv
"
What is the price of Guar in Damnagar market?,"state: Gujarat
district: Amreli
market: Damnagar
commodity: Guar
variety: Gwar
arrival_date: 04/03/2019
min_price: 1500
max_price: 1700
modal_price: 1600
source_file: csv.csv
"
What is the price of Lemon in Damnagar market?,"state: Gujarat
district: Amreli
market: Damnagar
commodity: Lemon
variety: Lemon
arrival_date: 04/03/2019
min_price: 1200
max_price: 1400
modal_price: 1300
source_file: csv.csv
"
What is the price of Bajra(Pearl Millet/Cumbu) in Khambhat(Grain Market) market?,"state: Gujarat
district: Anand
market: Khambhat(Grain Market)
commodity: Bajra(Pearl Millet/Cumbu)
variety: Other
arrival_date: 04/03/2019
min_price: 2040
max_price: 2120
modal_price: 2080
source_file: csv.csv
"
What is the price of Bajra(Pearl Millet/Cumbu) in Umreth market?,"state: Gujarat
district: Anand
market: Umreth
commodity: Bajra(Pearl Millet/Cumbu)
variety: Deshi
arrival_date: 04/03/2019
min_price: 1950
max_price: 2025
modal_price: 2015
source_file: csv.csv
"
What is the price of Castor Seed in Umreth market?,"state: Gujarat
district: Anand
market: Umreth
commodity: Castor Seed
variety: Castor seed
arrival_date: 04/03/2019
min_price: 4800
max_price: 4950
modal_price: 4870
source_file: csv.csv
"
What is the price of Bhindi(Ladies Finger) in Ankleshwar market?,"state: Gujarat
district: Bharuch
market: Ankleshwar
commodity: Bhindi(Ladies Finger)
variety: Bhindi
arrival_date: 04/03/2019
min_price: 2750
max_price: 3650
modal_price: 3425
source_file: csv.csv
"
What is the price of Bottle gourd in Ankleshwar market?,"state: Gujarat
district: Bharuch
market: Ankleshwar
commodity: Bottle gourd
variety: Bottle Gourd
arrival_date: 04/03/2019
min_price: 1400
max_price: 2100
modal_price: 1850
source_file: csv.csv
"
What is the price of Brinjal in Ankleshwar market?,"state: Gujarat
district: Bharuch
market: Ankleshwar
commodity: Brinjal
variety: Round
arrival_date: 04/03/2019
min_price: 425
max_price: 875
modal_price: 650
source_file: csv.csv
"
What is the price of Cabbage in Ankleshwar market?,"state: Gujarat
district: Bharuch
market: Ankleshwar
commodity: Cabbage
variety: Cabbage
arrival_date: 04/03/2019
min_price: 750
max_price: 1000
modal_price: 925
source_file: csv.csv
"
What is the price of Capsicum in Ankleshwar market?,"state: Gujarat
district: Bharuch
market: Ankleshwar
commodity: Capsicum
variety: Capsicum
arrival_date: 04/03/2019
min_price: 2150
max_price: 3000
modal_price: 2600
source_file: csv.csv
"
What is the price of Carrot in Ankleshwar market?,"state: Gujarat
district: Bharuch
market: Ankleshwar
commodity: Carrot
variety: Carrot
arrival_date: 04/03/2019
min_price: 650
max_price: 875
modal_price: 825
source_file: csv.csv
"
What is the price of Cauliflower in Ankleshwar market?,"state: Gujarat
district: Bharuch
market: Ankleshwar
commodity: Cauliflower
variety: Local
arrival_date: 04/03/2019
min_price: 650
max_price: 1500
modal_price: 1100
source_file: csv.csv
"
What is the price of Coriander(Leaves) in Ankleshwar market?,"state: Gujarat
district: Bharuch
market: Ankleshwar
commodity: Coriander(Leaves)
variety: Coriander
arrival_date: 04/03/2019
min_price: 550
max_price: 1000
modal_price: 825
source_file: csv.csv
"
What is the price of Cowpea(Veg) in Ankleshwar market?,"state: Gujarat
district: Bharuch
market: Ankleshwar
commodity: Cowpea(Veg)
variety: Cowpea (Veg)
arrival_date: 04/03/2019
min_price: 2750
max_price: 3650
modal_price: 3425
source_file: csv.csv
"
What is the price of Cucumbar(Kheera) in Ankleshwar market?,"state: Gujarat
district: Bharuch
market: Ankleshwar
commodity: Cucumbar(Kheera)
variety: Cucumbar
arrival_date: 04/03/2019
min_price: 1500
max_price: 2400
modal_price: 2175
source_file: csv.csv
"
What is the price of Drumstick in Ankleshwar market?,"state: Gujarat
district: Bharuch
market: Ankleshwar
commodity: Drumstick
variety: Drumstick
arrival_date: 04/03/2019
min_price: 2800
max_price: 3700
modal_price: 3475
source_file: csv.csv
"
What is the price of Elephant Yam (Suran) in Ankleshwar market?,"state: Gujarat
district: Bharuch
market: Ankleshwar
commodity: Elephant Yam (Suran)
variety: Elephant Yam (Suran)
arrival_date: 04/03/2019
min_price: 2150
max_price: 3000
modal_price: 2825
source_file: csv.csv
"
What is the price of Ginger(Green) in Ankleshwar market?,"state: Gujarat
district: Bharuch
market: Ankleshwar
commodity: Ginger(Green)
variety: Green Ginger
arrival_date: 04/03/2019
min_price: 5450
max_price: 6350
modal_price: 6100
source_file: csv.csv
"
What is the price of Green Chilli in Ankleshwar market?,"state: Gujarat
district: Bharuch
market: Ankleshwar
commodity: Green Chilli
variety: Green Chilly
arrival_date: 04/03/2019
min_price: 2600
max_price: 3300
modal_price: 3000
source_file: csv.csv
"
What is the price of Indian Beans (Seam) in Ankleshwar market?,"state: Gujarat
district: Bharuch
market: Ankleshwar
commodity: Indian Beans (Seam)
variety: Indian Beans (Seam)
arrival_date: 04/03/2019
min_price: 1000
max_price: 1700
modal_price: 1450
source_file: csv.csv
"
What is the price of Lemon in Ankleshwar market?,"state: Gujarat
district: Bharuch
market: Ankleshwar
commodity: Lemon
variety: Lemon
arrival_date: 04/03/2019
min_price: 3250
max_price: 3950
modal_price: 3700
source_file: csv.csv
"
What is the price of Methi(Leaves) in Ankleshwar market?,"state: Gujarat
district: Bharuch
market: Ankleshwar
commodity: Methi(Leaves)
variety: Methi
arrival_date: 04/03/2019
min_price: 600
max_price: 1000
modal_price: 825
source_file: csv.csv
"
What is the price of Onion Green in Ankleshwar market?,"state: Gujarat
district: Bharuch
market: Ankleshwar
commodity: Onion Green
variety: Onion Green
arrival_date: 04/03/2019
min_price: 1000
max_price: 1400
modal_price: 1225
source_file: csv.csv
"
What is the price of Peas cod in Ankleshwar market?,"state: Gujarat
district: Bharuch
market: Ankleshwar
commodity: Peas cod
variety: Peas cod
arrival_date: 04/03/2019
min_price: 1100
max_price: 1500
modal_price: 1325
source_file: csv.csv
"
